Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
eugenioclrc/MercadoBarrani,1,0,0,0,2024-08-04,Solidity,2
olehmisar/six-dos,1,0,0,1,2024-06-05,TypeScript,2
0xrafi/degen-score,1,0,0,0,2024-10-09,TypeScript,1
vlayer-xyz/noir-profiling,1,0,0,8,2024-04-26,TypeScript,2
DappaDanDev/green-zktricity_,1,0,0,0,2024-01-05,Roff,1
gabrielantonyxaviour/luffy,1,0,0,16,2024-09-21,Solidity,2
emirsoyturk/eth-global-istanbul,1,1,0,0,2023-12-07,Solidity,3
Envoy-VC/noir_jwt,1,0,2,4,2024-11-18,TypeScript,2
ToxicPine/zkpa,1,0,0,0,2024-03-17,JavaScript,2
emirsoyturk/eth-global-online,1,1,0,1,2023-12-07,Jupyter Notebook,1
Envoy-VC/noir_social_verify,1,0,1,4,2024-10-26,TypeScript,2
SleepingShell/noir-chacha20,1,1,0,0,2024-10-23,Rust,1
iAmMichaelConnor/viem-blobs-example,1,0,0,0,2024-09-15,Roff,1
hooperben/noir-bsl,1,0,0,0,2024-09-16,Roff,1
zkpassport/noir-starter-pack,1,1,0,0,2024-11-30,TypeScript,1
michaelelliot/noir-sha1,1,0,0,0,2024-09-14,Rust,1
catmcgee/aztec-vsummit,1,0,0,0,2024-09-02,Roff,1
porco-rosso-j/multi-factor-safe,1,0,0,1,2024-08-30,Solidity,1
RuntimeTerror-Labs/CelestialWallet,1,0,0,0,2024-02-25,Solidity,2
critesjosh/aztec-proxy-pattern,1,0,0,0,2024-09-14,Rust,1
fruity-labs/proof-of-intersection,1,0,0,0,2024-09-14,Roff,1
TaceoLabs/noir-examples,1,0,1,2,2024-11-11,Noir,2
Noir-ETH-Light-Client/circuits,1,0,0,2,2023-10-04,Solidity,1
Noir-W3C-Verifiable-Credentials/protocol-core,1,0,0,0,2023-12-07,JavaScript,1
jimjimvalkema/scrollZkWormholes,1,0,0,0,2024-10-24,Solidity,1
workingdoge/payslip.nr,1,2,0,1,2024-09-14,Roff,2
nutrina/zk_passport_score,1,1,0,2,2024-02-12,Solidity,2
shramee/noir-r1cs,1,0,0,0,2024-10-15,Roff,1
NethermindEth/worldcoin-private-social-graph,1,0,0,4,2024-10-08,TypeScript,4
crisgarner/ethGlobal-hack,1,0,0,0,2023-11-08,Solidity,1
grjte/noir_cbor,1,0,0,1,2024-10-15,Noir,1
aviral10x/scaffold-noir,1,0,0,0,2023-10-20,TypeScript,1
ClearflySystems/encodeclub,1,2,0,5,2024-10-16,TypeScript,4
agencyenterprise/hack-vortex-zkpaper,1,0,0,24,2024-09-30,Solidity,3
seugu/Noir-MiMCsponge,1,0,0,0,2023-08-16,Rust,1
yagopajarino/proof-of-poap-circuits,1,0,0,0,2024-11-17,Solidity,4
neotheprogramist/zkps,1,0,0,0,2024-09-09,Rust,1
kevincharm/i_lost_my_eth_in_a_boating_accident,1,0,0,0,2024-06-19,Solidity,1
Savio-Sou/noir-primitive-constraint-counts,1,0,0,0,2024-09-15,Roff,1
hooperben/lisan,1,0,0,0,2024-10-06,Noir,1
signorecello/noir-min-nodejs-example,1,1,3,3,2023-08-16,TypeScript,1
crisgarner/zkret-attestations,1,0,0,0,2023-11-20,Solidity,1
vlayer-xyz/repro-unmutable-env,1,0,0,0,2024-09-14,Roff,1
pierg/fact-fortress-compiler,1,0,0,0,2023-04-30,Roff,2
defi-wonderland/aztec-token,1,0,1,5,2024-03-06,TypeScript,4
cf-cartesi/dfast,1,0,1,10,2024-09-02,Dart,3
FuzzingLabs/aztec_fuzzing,1,1,0,5,2024-12-15,Rust,7
Another-DevX/sindri-scroll-hackaton,1,0,0,0,2024-08-16,Roff,1
taikoonwang/zk-kit,1,0,0,1,2024-07-08,TypeScript,25
porco-rosso-j/aztec-modular-smart-account,1,0,0,0,2024-09-15,Rust,1
aviral10x/ethonline,1,0,0,0,2023-10-23,Solidity,1
flyingnobita/noir-playground,1,0,0,0,2024-09-03,Roff,1
signorecello/noir-recursion,1,2,0,1,2023-08-09,Solidity,2
Heavy-Community/aztec-wallet,1,0,0,4,2024-09-15,TypeScript,1
critesjosh/past-my-shades,1,0,0,0,2024-03-24,Solidity,1
frederic/zkDL,1,0,0,0,2024-03-05,Solidity,1
aragonzkresearch/zkRegistry,1,0,0,0,2024-03-11,Solidity,1
fruity-labs/proof-of-proximity,0,1,1,1,2023-07-08,Roff,1
gitshreevatsa/BNB-Polyhedra,0,0,0,0,2024-03-03,Solidity,2
eugypalu/ng-questplay,0,0,0,0,2024-05-01,JavaScript,1
MihRazvan/SHIELDSPACE-ETHRome,0,2,0,4,2024-10-10,TypeScript,3
AdCazzum/fischietto,0,0,0,0,2024-10-05,TypeScript,3
yagopajarino/zkam-noir,0,0,0,0,2024-12-07,TypeScript,1
hashcloak/noir-bigint-bench,0,0,1,5,2024-08-22,TypeScript,2
HamzaZF/Privacy-Preserving-Exchange-Mechanism-Noir,0,0,0,0,2024-09-13,Roff,1
signorecello/noir-ultrahonk-bug,0,0,0,0,2024-09-30,TypeScript,1
nullity00/demo-circ,0,2,0,0,2023-09-26,Solidity,1
michaelelliot/noir-integration-test-recursive-proof,0,0,0,0,2024-12-14,TypeScript,1
jonas089/paradox-6,0,0,0,0,2024-09-02,Rust,1
armanthepythonguy/ZKP-Hype-ETHOnline,0,0,0,0,2024-08-16,Solidity,1
0xjimmy/risk-noir-prover,0,0,0,0,2024-05-03,Roff,1
Envoy-VC/noir_base64_lib,0,0,1,2,2024-10-20,Noir,2
signorecello/noir-breaking-verify-signature,0,1,0,0,2023-10-22,Solidity,1
pavlovdog/hardhat-noir-password-wallet,0,0,1,1,2023-01-03,Solidity,1
anj20/NoirSwap,0,0,0,0,2024-04-29,Solidity,1
KENILSHAHH/Vortex,0,0,0,0,2024-04-30,Solidity,1
Maadhav/aztec-bridge,0,0,0,0,2024-01-14,Roff,1
signorecello/honkdrop,0,0,0,0,2024-11-26,TypeScript,1
Cheetah0x/aztec-starter,0,0,0,0,2024-11-27,Rust,6
sirasistant/noir-playground,0,0,0,0,2024-04-02,Roff,1
gabrielantonyxaviour/zkricket,0,1,0,0,2024-04-30,TypeScript,3
Foulks-Plb/ZKP-ECDH,0,0,0,0,2024-08-04,Roff,1
vladimir-trifonov/noir-mip,0,0,0,0,2023-08-30,Roff,1
signorecello/progcrypto23-act,0,0,0,1,2023-11-16,TypeScript,1
philsippl/noir-r1cs,0,0,0,0,2024-11-29,Rust,2
critesjosh/test_codespace,0,2,0,1,2024-01-05,Rust,2
NikolayKostadinov21/noir-private-voting,0,0,0,0,2024-07-30,Roff,1
hooperben/aztec-devnet-testing,0,0,0,0,2024-09-09,TypeScript,1
jp4g/brillig_bug_aztec,0,0,0,0,2023-12-15,Rust,1
alexjaniak/zkMNIST-Noir,0,0,0,0,2023-10-06,Solidity,1
BootNodeDev/rps-poc,0,0,0,0,2024-05-16,TypeScript,2
Thjarkgh/skirmish,0,0,0,1,2024-09-16,Solidity,2
noir-lang/mimc,0,0,0,3,2024-10-30,Noir,2
DappaDanDev/zk-vaccinations,0,0,0,0,2024-03-16,Solidity,1
catmcgee/alpha-workshops,0,1,0,0,2024-03-25,TypeScript,1
ksmit323/zk_bootcamp_project,0,0,0,0,2024-06-27,Roff,1
tuhoag/noir-typescript,0,0,0,0,2024-02-22,TypeScript,1
PKerty/amm-front-v2,0,0,0,0,2024-08-04,TypeScript,1
hashcloak/zk-regex-tests-and-examples,0,0,2,5,2024-12-12,Noir,2
signorecello/ethglobal_brussels,0,0,0,0,2024-07-12,Kotlin,2
