Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
lerwine/PowerShell-Modules,0,1,5,29,2024-12-17,JavaScript,3
dantgw/aleo_import_example,0,1,0,1,2024-07-18,TypeScript,1
DevTester425/includes_1.44mb_image,0,0,0,0,2024-10-10,Shell,1
anupamakoirala/buildh3R_sept_2024,0,0,0,0,2024-09-17,Shell,1
gchiu/leo-editor,0,1,0,0,2021-12-07,Python,30
aisgbnok/winget-pkgs-index,0,0,0,0,2024-08-17,PowerShell,1
2lambda123/telegramdesktop-winget-pkgs,0,0,0,1,2024-08-25,PowerShell,3017
webOS-ports/org.webosinternals.saverestore,0,1,0,0,2015-04-29,Shell,3
webos-internals/saverestore,0,0,0,0,2019-01-23,Shell,3
scrum-1/cd2019b,0,56,2,3,2019-06-16,HTML,43
GoktugEk/leo-workshop,0,0,0,0,2023-12-24,,1
40328242/bg10_cdw11,0,0,0,0,2016-05-26,HTML,1
2015fallhw/2016springwcm,0,33,1,24,2016-03-18,JavaScript,9
40323155/2016springcd_aG6,0,0,1,1,2016-06-20,HTML,4
jshinny12/Aleo_Workshop,0,0,0,0,2023-12-03,Shell,1
Cuongle99/vt_fashion_elements,0,0,0,0,2024-09-24,PHP,1
Cuongle99/vt_interior_elements,0,0,0,0,2024-09-24,PHP,1
egeagus/Leo-Devconnect,0,0,0,0,2023-11-15,,1
MikaelMayer/MikaelMayer.github.io,0,0,0,0,2024-10-11,JavaScript,1
HicrestLaboratory/Blink-GPU,0,0,3,11,2024-11-14,Cuda,6
h0n24/leodig,0,0,0,0,2015-11-25,PHP,1
kpandl/leo-ml-experiments,0,0,0,0,2024-11-20,Jupyter Notebook,1
d0cd/leo-experiments,0,0,0,0,2024-11-15,,1
daniel5713/Kunyao-academy-app,0,0,0,0,2023-04-20,,3
aeither/aleo3-workshop,0,0,0,0,2023-11-15,JavaScript,1
2014cdbg13/cdbg13,0,0,0,0,2014-06-22,Python,19
2015fallhw/cdw2,0,126,38,10,2016-06-29,HTML,68
mdecadp2018/site-40423217,0,0,0,0,2019-01-10,HTML,2
mdecadp2018/finalproject-bg8,0,0,0,0,2019-01-15,HTML,8
jason696969/2019wcmj,0,0,0,0,2019-03-12,JavaScript,1
40323131/cdw2_g8,0,0,0,0,2016-04-18,Python,1
kmolLin/2016springcd_aG8,0,2,0,0,2016-06-20,HTML,7
40323203/bg4_cdw2,0,1,0,0,2016-05-23,Python,4
leolost2605/upgrader,0,0,0,0,2024-07-25,Vala,1
mdecad2022/site-41023146,0,0,0,0,2022-12-31,JavaScript,2
knirb/word_predictor,0,1,3,3,2019-05-19,Python,2
MorganBerger/pwynt,0,0,0,0,2024-07-14,C#,1
40323250/bg9_cdw2,0,0,0,0,2016-04-28,Python,5
lipet2k/aleo-backend,0,0,0,0,2023-09-06,,1
2014c2g4/2015cda0623,0,0,0,0,2015-06-29,Python,2
nomisma/symbol-svg,0,0,0,0,2024-09-18,,1
40323130/2016springcd_aG4,0,2,0,0,2016-06-23,HTML,7
40223226/2015cdbg80420,0,6,0,0,2015-04-26,Python,3
