Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
aroralanuk/touchstone,0,0,0,0,2023-10-23,Solidity,1
samuel-rufi/my-risc0-rust-project,0,0,0,0,2022-12-06,Rust,1
sivo4kin/zkvm-test,0,0,0,0,2022-12-06,Rust,1
glide-rollup/risc0-evm,0,0,4,4,2024-07-30,Rust,14
fixerivan/wordle,0,1,0,1,2023-02-28,Rust,1
LimeChain/hedera-zk-poc,0,1,3,4,2024-06-11,Solidity,1
LimeChain/hedera-stark-recursive-proofs-poc,0,0,1,1,2024-07-26,Rust,1
miguelCyclone/zkvm-disney-love,0,0,0,0,2024-10-12,Rust,1
ekrembal/risc0-std-benchmark,0,0,0,0,2024-01-11,Rust,1
ManOnFire40/Cryptography,0,0,0,0,2023-10-10,Python,1
RajasreePonnada/ZSDK,0,1,0,0,2024-09-08,Go,1
austinabell/r0-zig-factors,0,0,0,0,2023-06-28,Zig,1
zypher-game/Alien-Cake-Addict,0,0,0,0,2024-06-11,Rust,1
izzetemredemir/risc0-test,0,0,0,0,2024-05-25,Rust,1
alperenbekci/nonogram-aligned,0,0,0,0,2024-10-30,Solidity,2
poiresel/poiresel-risc0-consolidate-crates,0,0,0,0,2023-03-05,Rust,1
odyzzey/lua-zkvm,0,0,0,0,2023-06-24,Rust,1
mohamedalichelbi/zk-creds,0,0,0,0,2023-09-13,Rust,1
halseth/factors-rs,0,0,0,0,2024-07-31,Rust,1
ingonyama-zk/ctf-day-of-sagittarius,0,1,0,0,2023-05-12,Rust,1
l2iterative/ed255190,0,0,0,0,2024-02-22,Rust,1
adirola/EnigmaVote,0,0,0,0,2024-04-10,Rust,1
carlosgj94/risc-zero-study,0,0,0,0,2024-07-26,Rust,1
g4titanx/erc721-tm,0,0,0,0,2024-08-31,Rust,1
0xAndoroid/zkBlackjack,0,0,0,0,2024-08-11,Rust,1
tarassh/risc0-dag,0,0,0,0,2024-08-06,Rust,1
star-gazer111/ShieldFi,0,0,0,0,2023-08-12,Rust,2
Mirror-Tang/ZeroBase-Document,0,0,0,0,2024-09-03,,3
distributedstatemachine/bonsai_experiment,0,0,0,0,2024-02-05,,1
rtang03/factors,0,0,0,0,2023-08-09,Rust,1
Rom3dius/contradiction,0,0,0,0,2024-11-04,Rust,1
weikengchen/risc0-fix-typo,0,0,0,0,2024-01-11,C++,58
Kourin1996/bitbounty,0,0,0,0,2024-07-04,TypeScript,1
marcuspang/cairo-risc0,0,0,0,0,2024-06-26,Rust,1
saefstroem/riscv-zkvm-experiments,0,0,0,0,2024-10-31,Rust,1
justinfrevert/thumper,0,0,0,0,2024-04-22,Solidity,1
wangtsiao/zkevm-benchs,0,0,0,0,2023-05-31,Rust,1
winor30/bonsai-oidc-verify,0,0,0,0,2023-12-17,Rust,1
pwang200/try_partial_trie,0,0,0,0,2024-06-25,Rust,1
kenkomu/Risc0_hello_world,0,0,0,0,2024-11-13,Rust,1
ahmadkaouk/zk-bitcoin-header-proof,0,0,0,0,2023-06-06,Rust,1
iotexproject/w3bstream-vm,0,4,1,6,2024-11-06,Rust,4
logos-co/nomos-pocs,0,0,3,42,2024-09-11,Python,5
evikser/spin-node,0,2,1,1,2023-08-03,,2
ProofPlus/aggregator-sdk,0,0,0,0,2024-07-18,Rust,1
aditya-git16/sceth,0,1,0,1,2024-04-21,Rust,2
Omardibba50/Ztips-zkapp,0,0,0,0,2024-08-11,JavaScript,1
whoisgautxm/Attestation-Proof,0,1,1,1,2024-08-11,C++,3
automata-network/dcap-bonsai-cli,0,0,1,4,2024-09-18,Rust,3
l2iterative/r0prover-python,0,0,0,0,2024-01-17,Rust,1
blocklessnetwork/zk-explorer,0,0,0,0,2023-09-01,TypeScript,1
NethermindEth/starkpack-risc0,0,0,4,10,2024-10-30,C++,1
spin-fi/zk-rnd,0,0,0,1,2023-06-16,Rust,3
martyall/risc0-ttc,0,0,0,4,2024-03-05,PureScript,1
zypher-game/poker0,0,0,0,1,2024-06-05,Rust,3
usherlabs/x-twitter-nfts,0,0,2,15,2024-11-06,Solidity,2
odyzzey/zk-accumulator-demo,0,0,0,0,2023-03-03,Rust,1
Srikarrao1/pw_checker,0,0,0,0,2023-07-05,Rust,1
nhukc/risc0,0,0,5,10,2024-05-18,C++,36
alexmikhalevich/risc0-merkle-integration,0,0,0,0,2024-06-15,Rust,1
rtang03/ecdsa,0,0,0,0,2023-08-18,Rust,1
AnomalyFi/nodekit-zk,0,0,0,0,2024-05-14,C++,1
l2iterative/small-serde0,0,0,0,0,2024-02-11,Rust,1
alt-research/bonsai-osp-template-test,0,0,0,0,2023-08-11,Solidity,1
petarvujovic98/raiko,0,0,0,0,2024-04-29,Rust,17
ChinoCribioli/ZK-Benchmark,0,0,0,0,2024-10-04,Rust,1
Marky-Shi/risc0-code,0,0,0,1,2024-08-12,Rust,1
Cardinal-Cryptography/merkle-wrapping-with-risc0,0,0,0,0,2024-04-22,Rust,1
HorizenLabs/risc0-verifier,0,0,0,3,2024-10-30,Rust,2
orkunkilic/trustless-btc-eth-swaps,0,0,0,0,2024-06-05,C++,1
jonas089/sha256-zk-benchmark,0,0,0,0,2024-09-02,Rust,1
christam96/zk-json,0,0,0,0,2024-03-25,Rust,1
kanav99/zkproofs-assignments,0,0,0,0,2024-09-30,Rust,1
carlosgj94/risc0-steel-template,0,0,0,0,2024-08-15,Solidity,1
HorizenLabs/zkVerify-qa,0,0,0,22,2024-11-13,TypeScript,5
Moooover/risk-zero-prover,0,0,0,0,2024-10-05,Rust,1
odyzzey/zeroboy,0,0,0,0,2024-07-17,Rust,1
KuTuGu/proof-of-innocence,0,0,0,0,2023-03-07,Rust,1
odyzzey/hybrid-zkml-demo,0,0,0,0,2024-07-25,Rust,1
albertoZurini/ETHSofia2024,0,0,0,0,2024-10-19,Rust,1
aridder/zkbiometric,0,0,0,0,2024-04-23,Rust,2
alexmikhalevich/risc0-verify-steps,0,0,0,0,2024-10-28,Rust,1
kaiesamurai/zkrow,0,0,0,0,2024-06-14,TypeScript,1
barnjamin/py-risc0,0,0,0,0,2023-03-04,Python,1
BrianSeong99/zkOracle-r0,0,0,0,0,2023-12-14,Rust,1
Aruj77/PixelCops,0,0,0,0,2024-07-17,TypeScript,1
urataps/zk-encode-bootcamp,0,0,0,0,2023-10-13,Cairo,1
OilerNetwork/fossil-light-client,0,0,0,4,2024-11-17,Cairo,2
litmus-zhang/personal-playground,0,0,1,1,2024-11-10,JavaScript,1
odyzzey/stateful-zkvm,0,0,0,0,2023-08-11,Rust,1
armsves/zk-id-hyle,0,0,0,0,2024-05-19,Rust,1
omurovec/zkhack-mtl,0,0,0,0,2024-08-11,TypeScript,3
nicklandshark/fibonacci,0,0,0,0,2024-11-11,Rust,1
vinay10949/test_mpc_zvm,0,0,0,0,2024-06-04,Rust,1
austinabell/r0-proc-macro-template,0,0,0,0,2024-05-27,Rust,1
pp-pal/r0-tester,0,0,0,0,2024-02-14,Rust,1
mikevoronov/risc0-simple-linking-project,0,0,0,0,2023-07-06,Rust,1
alv-around/risc0-ecdsa,0,0,0,1,2024-01-17,Rust,1
citizen-stig/reth-primitives-check,0,0,0,0,2024-03-12,Rust,1
NethermindEth/mmr-risc0-prover,0,0,0,0,2024-11-13,Cairo,1
austinabell/bonsai-chess,0,0,0,0,2023-09-01,Rust,1
codyx/penny-proofs,0,0,5,23,2024-07-14,Rust,2
carlosgj94/risc-voting,0,0,0,0,2024-08-20,Solidity,1
Barkhausen-Institut/PQACL,0,0,0,0,2024-07-19,C++,2
Created-for-a-purpose/Guardian-FHE,0,0,0,0,2023-12-10,Rust,1
blocklessnetwork/turbo-verifier,0,0,2,2,2023-08-23,Rust,1
austinabell/r0-stateful,0,0,0,0,2024-01-05,Rust,1
NOOMA-42/zkOracle-RISC0,0,0,0,0,2023-11-13,Rust,3
tzerrell/zkhack3-demo,0,0,0,1,2022-12-15,Rust,1
estensen/zk-special,0,0,0,0,2023-11-11,Rust,1
